"dataset","mechanism","rho","trial","fit","roc_auc","avg_precision","fit_seconds"
"EU-core emails (SNAP)","MCAR",0.1,6,"MPLE",0.504463936095231,0.495280547385689,0.126000000000001
"EU-core emails (SNAP)","MCAR",0.1,7,"MPLE",0.590610071266348,0.54287271031305,0.112000000000002
"EU-core emails (SNAP)","MCAR",0.1,8,"MPLE",0.619292818544913,0.552233798297724,0.108000000000001
"EU-core emails (SNAP)","MCAR",0.1,9,"MPLE",0.627692066724097,0.578771794447151,0.114999999999998
"EU-core emails (SNAP)","MCAR",0.1,10,"MPLE",0.605431122249197,0.533321078187012,0.115000000000002
"EU-core emails (SNAP)","MCAR",0.3,1,"MPLE",0.479653979238754,0.468860496035608,0.0999999999999979
"EU-core emails (SNAP)","MCAR",0.3,2,"MPLE",0.541132136678201,0.49005498530529,0.0990000000000002
"EU-core emails (SNAP)","MCAR",0.3,3,"MPLE",0.5375,0.483837122408951,0.102
"EU-core emails (SNAP)","MCAR",0.3,4,"MPLE",0.492239403114187,0.467441257276597,0.151
"EU-core emails (SNAP)","MCAR",0.3,5,"MPLE",0.564000865051903,0.503359168490022,0.106000000000002
"EU-core emails (SNAP)","MCAR",0.3,6,"MPLE",0.579206314878893,0.517210155980506,0.105
"EU-core emails (SNAP)","MCAR",0.3,7,"MPLE",0.55238321799308,0.496105375401775,0.105
"EU-core emails (SNAP)","MCAR",0.3,8,"MPLE",0.500749351211073,0.477200499514171,0.121000000000002
"EU-core emails (SNAP)","MCAR",0.3,9,"MPLE",0.510155709342561,0.473123083484427,0.0949999999999989
"EU-core emails (SNAP)","MCAR",0.3,10,"MPLE",0.49711937716263,0.47294307683917,0.106000000000002
"EU-core emails (SNAP)","MCAR",0.5,1,"MPLE",0.560533952950179,0.524613260471316,0.0899999999999999
"EU-core emails (SNAP)","MCAR",0.5,2,"MPLE",0.525893965267863,0.477663643237156,0.083000000000002
"EU-core emails (SNAP)","MCAR",0.5,3,"MPLE",0.58134259648075,0.534695847731367,0.0859999999999985
"EU-core emails (SNAP)","MCAR",0.5,4,"MPLE",0.553471502913008,0.508275885855566,0.0919999999999987
"EU-core emails (SNAP)","MCAR",0.5,5,"MPLE",0.559086002942558,0.507215721255683,0.0899999999999999
"EU-core emails (SNAP)","MCAR",0.5,6,"MPLE",0.561829098351732,0.519752593667561,0.0910000000000011
"EU-core emails (SNAP)","MCAR",0.5,7,"MPLE",0.545977856163041,0.498681484377132,0.088000000000001
"EU-core emails (SNAP)","MCAR",0.5,8,"MPLE",0.519982798789383,0.476636539111855,0.108000000000001
"EU-core emails (SNAP)","MCAR",0.5,9,"MPLE",0.568766738519825,0.521053108924197,0.0970000000000013
"EU-core emails (SNAP)","MCAR",0.5,10,"MPLE",0.534445579786556,0.497749685747289,0.0910000000000011
"EU-core emails (SNAP)","MNAR_degree",0.1,1,"MPLE",0.62671313336988,0.557482258334042,0.111999999999998
"EU-core emails (SNAP)","MNAR_degree",0.1,2,"MPLE",0.607565196961391,0.554195467348558,0.119
"EU-core emails (SNAP)","MNAR_degree",0.1,3,"MPLE",0.626615240034458,0.541863432438609,0.122
"EU-core emails (SNAP)","MNAR_degree",0.1,4,"MPLE",0.593566449996084,0.52789696302139,0.116
"EU-core emails (SNAP)","MNAR_degree",0.1,5,"MPLE",0.608524551648524,0.535268719974121,0.115000000000002
"EU-core emails (SNAP)","MNAR_degree",0.1,6,"MPLE",0.615533714464719,0.545925291577286,0.119
"EU-core emails (SNAP)","MNAR_degree",0.1,7,"MPLE",0.605901010259222,0.535043416986977,0.126999999999999
"EU-core emails (SNAP)","MNAR_degree",0.1,8,"MPLE",0.601065079489388,0.529684906261305,0.130000000000003
"EU-core emails (SNAP)","MNAR_degree",0.1,9,"MPLE",0.580448743049573,0.520701001653809,0.120999999999999
"EU-core emails (SNAP)","MNAR_degree",0.1,10,"MPLE",0.587888636541624,0.519748541402248,0.135999999999999
"EU-core emails (SNAP)","MNAR_degree",0.3,1,"MPLE",0.588393166089965,0.519890870011944,0.103999999999999
"EU-core emails (SNAP)","MNAR_degree",0.3,2,"MPLE",0.581386245674741,0.518099920008939,0.0999999999999979
"EU-core emails (SNAP)","MNAR_degree",0.3,3,"MPLE",0.650237889273356,0.588619826035162,0.103999999999999
"EU-core emails (SNAP)","MNAR_degree",0.3,4,"MPLE",0.5961526816609,0.523055718318335,0.103000000000002
"EU-core emails (SNAP)","MNAR_degree",0.3,5,"MPLE",0.568367214532872,0.506773308742065,0.102999999999998
"EU-core emails (SNAP)","MNAR_degree",0.3,6,"MPLE",0.576189446366782,0.511811178775122,0.104000000000003
"EU-core emails (SNAP)","MNAR_degree",0.3,7,"MPLE",0.596141868512111,0.531980954705717,0.103000000000002
"EU-core emails (SNAP)","MNAR_degree",0.3,8,"MPLE",0.578116349480969,0.518924609574438,0.102
"EU-core emails (SNAP)","MNAR_degree",0.3,9,"MPLE",0.449026816608997,0.444570172528991,0.0990000000000002
"EU-core emails (SNAP)","MNAR_degree",0.3,10,"MPLE",0.462824394463668,0.449409647065487,0.125
"EU-core emails (SNAP)","MNAR_degree",0.5,1,"MPLE",0.548220934464321,0.515236288569475,0.0920000000000023
"EU-core emails (SNAP)","MNAR_degree",0.5,2,"MPLE",0.537869491646682,0.498072316815862,0.0869999999999997
"EU-core emails (SNAP)","MNAR_degree",0.5,3,"MPLE",0.525671173819322,0.484764590563239,0.093
"EU-core emails (SNAP)","MNAR_degree",0.5,4,"MPLE",0.540293369291018,0.505017078667917,0.0980000000000025
"EU-core emails (SNAP)","MNAR_degree",0.5,5,"MPLE",0.568097586542619,0.51513350654399,0.0950000000000024
"EU-core emails (SNAP)","MNAR_degree",0.5,6,"MPLE",0.524912983025858,0.497897090755635,0.0850000000000009
"EU-core emails (SNAP)","MNAR_degree",0.5,7,"MPLE",0.5979889669631,0.549514727919243,0.0890000000000022
"EU-core emails (SNAP)","MNAR_degree",0.5,8,"MPLE",0.531385988323084,0.494318650489613,0.0889999999999986
"EU-core emails (SNAP)","MNAR_degree",0.5,9,"MPLE",0.541453206797122,0.489820258231363,0.093
"EU-core emails (SNAP)","MNAR_degree",0.5,10,"MPLE",0.553228881859099,0.512851470839714,0.0969999999999978
"uni_email (URV)","MCAR",0.1,1,"MPLE",0.756286982248521,0.718305575951622,0.0659999999999989
"uni_email (URV)","MCAR",0.1,2,"MPLE",0.762573964497041,0.699952896197855,0.0629999999999988
"uni_email (URV)","MCAR",0.1,3,"MPLE",0.81508875739645,0.77331908267799,0.0670000000000002
"uni_email (URV)","MCAR",0.1,4,"MPLE",0.686390532544379,0.666306077552596,0.0700000000000003
"uni_email (URV)","MCAR",0.1,5,"MPLE",0.75887573964497,0.737205415480133,0.0650000000000013
"uni_email (URV)","MCAR",0.1,6,"MPLE",0.756841715976331,0.714736704032208,0.0670000000000002
"uni_email (URV)","MCAR",0.1,7,"MPLE",0.827662721893491,0.826678614104327,0.0700000000000003
"uni_email (URV)","MCAR",0.1,8,"MPLE",0.74167899408284,0.704664307871504,0.0640000000000001
"uni_email (URV)","MCAR",0.1,9,"MPLE",0.708394970414201,0.706074408356003,0.0640000000000001
"uni_email (URV)","MCAR",0.1,10,"MPLE",0.785687869822485,0.761396691232267,0.0620000000000012
"uni_email (URV)","MCAR",0.3,1,"MPLE",0.721458900817177,0.689495289930521,0.0599999999999987
"uni_email (URV)","MCAR",0.3,2,"MPLE",0.760054478448967,0.740070148909384,0.0599999999999987
"uni_email (URV)","MCAR",0.3,3,"MPLE",0.778300753084442,0.775965939258017,0.0609999999999999
"uni_email (URV)","MCAR",0.3,4,"MPLE",0.698605992629386,0.700943395366748,0.0600000000000023
"uni_email (URV)","MCAR",0.3,5,"MPLE",0.715750680980612,0.701840771322995,0.0549999999999997
"uni_email (URV)","MCAR",0.3,6,"MPLE",0.754867008492229,0.747728736264846,0.054000000000002
"uni_email (URV)","MCAR",0.3,7,"MPLE",0.77107034129146,0.754089710738426,0.0530000000000008
"uni_email (URV)","MCAR",0.3,8,"MPLE",0.760815574427175,0.725003970888417,0.0479999999999983
"uni_email (URV)","MCAR",0.3,9,"MPLE",0.696923569940715,0.682924191544764,0.054000000000002
