,Airline,Code
774,Pace Airlines,Y5
775,Jetstar Pacific,BL
776,Pacific Blue,DJ
777,Pacific Coastal Airline,8P
778,Pacific East Asia Cargo Airlines,Q8
779,Pacific Southwest Airlines,PS
780,Pacific Wings,LW
781,Pacificair,GX
782,Pakistan International Airlines,PK
783,Palau Trans Pacific Airline,GP
784,Palestinian Airlines,PF
785,Pamir Airways,NR
786,Pan American Airways,PA
787,Pan American World Airways,PA
788,Panafrican Airways,PQ
789,Pantanal Linhas Aéreas,P8
790,Paramount Airways,I7
791,Pearl Airways,HP
792,Pegasus Airlines,PC
793,Pegasus Hava Tasimaciligi,1I
794,Peninsula Airways,KS
795,Perm Airlines,P9
796,Philippine Airlines,PR
797,Phoenix Airways,HP
798,Phuket Air,9R
799,Piedmont Airlines (1948-1989),PI
800,Pinnacle Airlines,9E
801,Polar Air Cargo,PO
802,Polynesian Airlines,PH
803,Polynesian Blue,DJ
804,Polyot Sirena,1U
805,Porter Airlines,PD
806,Portugalia,NI
807,Potomac Air,BK
808,Precision Air,PW
809,President Airlines,TO
810,Primaris Airlines,FE
811,Princess Air,8Q
812,Private Wings Flugcharter,8W
813,Proflight Commuter Services,P0
814,Qantas,QF
815,Qatar Airways,QR
816,RACSA,R6
817,Radixx Solutions International,1D
818,Redhill Aviation,8L
819,Reem Air,V4
820,Regional Airlines,FN
821,Regional Express,ZL
822,RegionsAir,3C
823,Reno Air,QQ
824,Republic Airlines,RW
825,Republic Express Airlines,RH
826,Rico Linhas A,C7
827,Rio Grande Air,E2
828,Rio Sul Servi,SL
829,Rossiya,R4
830,Air Rarotonga,GZ
831,Royal Air Force,RR
832,Royal Air Force of Oman,RS
833,Royal Air Maroc,AT
834,Royal Airlines,R0
835,Royal Aruban Airline,V5
836,Royal Brunei Airlines,BI
837,Royal Jordanian,RJ
838,Royal Khmer Airlines,RK
839,Royal Nepal Airlines,RA
840,Royal Tongan Airlines,WR
841,Russian Sky Airlines,P7
842,Rwandair Express,WB
843,Ryan International Airlines,RD
844,Ryanair,FR
845,Régional,YS
846,SATA International,S4
847,South African Airways,SA
848,Shaheen Air International,NL
849,Scandinavian Airlines System,SK
850,S7 Airlines,S7
851,Seaborne Airlines,BB
852,SriLankan Airlines,UL
853,Sun Country Airlines,SY
854,Sky Express,XW
855,Spicejet,SG
856,Sky Eyes,I6
857,SAETA,EH
858,Star Flyer,7G
859,Safair,FA
860,Skagway Air Service,N5
861,SATA Air Acores,SP
862,Scorpio Aviation,8S
863,Singapore Airlines,SQ
864,Sibaviatrans,5M
865,Skynet Airlines,SI
866,SITA,XS
867,Sriwijaya Air,SJ
868,Sama Airlines,ZS
869,Singapore Airlines Cargo,SQ
870,Siem Reap Airways,FT
871,Sky Work Airlines,SX
872,Swedline Express,SM
873,South East Asian Airlines,DG
874,SwedJet Airways,VD
875,Skyservice Airlines,5G
876,Servicios de Transportes A,FS
877,Sudan Airways,SD
878,Sun Air (Fiji),PI
879,Sun Air of Scandinavia,EZ
880,Saudi Arabian Airlines,SV
881,Southwest Airlines,WN
882,Southern Winds Airlines,A4
883,Sunwing Airlines,WG
884,Swiss International Air Lines,LX
885,Swissair,SR
886,Swe Fly,WV
887,Shovkoviy Shlyah,S8
888,SunExpress,XQ
889,Syrian Arab Airlines,RB
890,Skywalk Airlines,AL
891,Silk Way Airlines,ZP
892,Samara Airlines,E5
893,Shandong Airlines,SC
894,Spring Airlines,9S
895,Sichuan Airlines,3U
896,Shanghai Airlines,FM
897,Shenzhen Airlines,ZH
898,Shanxi Airlines,8C
899,Sun D'Or,7L
900,SkyEurope,NE
901,Sunshine Express Airlines,CQ
902,Superior Aviation,SO
903,Spanair,JK
904,San Juan Airlines,2G
905,Sabre Pacific,1Z
906,Sabre,1S
907,Sierra Nevada Airlines,1I
908,Siren-Travel,1H
909,Sirena,1Q
910,Sky Trek International Airlines,1I
911,Southern Cross Distribution,1K
912,Sutra,1K
913,SNCF,2C
914,Star Equatorial Airlines,2S
915,Spirit Airlines,NK
916,SATENA,9R
917,Slok Air Gambia,S0
918,Sosoliso Airlines,SO
919,Skybus Airlines,SX
920,SkyKing Turks and Caicos Airways,RU
921,Santa Barbara Airlines,S3
922,Sky Airline,H2
923,SkyWest,OO
924,Skyways Express,JZ
925,Skymark Airlines,BC
926,Sierra National Airlines,LJ
927,SilkAir,MI
928,Slovak Airlines,6Q
929,Surinam Airways,PY
930,Servant Air,8D
931,Sterling Airlines,NB
932,Skynet Asia Airways,6J
933,Solomon Airlines,IE
934,Saratov Aviation Division,6W
935,Sat Airlines,HZ
936,Shuttle America,S5
937,Scat Air,DV
938,Sirin,R1
939,Star Air,S6
940,TAME,EQ
941,TAM Brazilian Airlines,JJ
942,TAP Portugal,TP
943,Tunisair,TU
944,TNT Airways,3V
945,Tropical Airways,M7
946,Thai Air Cargo,T2
947,Thomas Cook Airlines,MT
948,Tandem Aero,TQ
949,Teamline Air,L9
950,Transeuropean Airlines,UE
951,Titan Airways,ZT
952,Tiger Airways,TR
953,Tiger Airways Australia,TT
954,Thai Airways International,TG
955,Thai AirAsia,FD
956,Turkish Airlines,TK
957,Twin Jet,T7
958,Thai Sky Airlines,9I
959,Tulip Air,TD
960,Trans Mediterranean Airlines,TL
961,Tri-MG Intra Asia Airlines,GY
962,Tiara Air,3P
963,Tobruk Air,7T
964,Tol-Air Services,TI
965,Thomsonfly,BY
