Name,Code
Hagerstown Regional Richard A Henson Field,HGR
Sand Point Airport,SDP
Deering Airport,DRG
Igiugig Airport,IGG
New Stuyahok Airport,KNW
King Cove Airport,KVC
Port Heiden Airport,PTH
Togiak Airport,TOG
Delta County Airport,ESC
Yakutat Airport,YAK
Williamson County Regional Airport,MWA
Ford Airport,IMT
Marquette Airport,\N
Allakaket Airport,AET
Michigan City Municipal Airport,MGC
Seward Airport,SWD
Grand Marais Cook County Airport,GRM
Wausau Downtown Airport,AUW
Delaware County Johnson Field,MIE
Purdue University Airport,LAF
Brown County Airport,\N
North Las Vegas Airport,VGT
Kenosha Regional Airport,ENW
Montrose Regional Airport,MTJ
Riverton Regional Airport,RIW
Eastern Oregon Regional At Pendleton Airport,PDT
Wittman Regional Airport,OSH
Pangborn Memorial Airport,EAT
NAS Fort Worth JRB/Carswell Field,\N
Gary Chicago International Airport,GYY
Brainerd Lakes Regional Airport,BRD
Greenbrier Valley Airport,LWB
Pitt Greenville Airport,PGV
Chefornak Airport,CYF
Oxnard Airport,OXR
Schenectady County Airport,SCH
Northeast Florida Regional Airport,UST
Charles M. Schulz Sonoma County Airport,STS
Kissimmee Gateway Airport,ISM
Lake City Gateway Airport,LCQ
Deland Municipal Sidney H Taylor Field,\N
Haller Airpark,\N
Logan-Cache Airport,LGU
Brigham City Airport,BMC
Malad City Airport,MLD
Aspen-Pitkin Co/Sardy Field,ASE
Kerrville Municipal Louis Schreiner Field,ERV
Sussex County Airport,GED
Great Bend Municipal Airport,GBN
Hays Regional Airport,HYS
Spirit of St Louis Airport,SUS
Ely Municipal Airport,LYU
Grand Rapids Itasca Co-Gordon Newstrom field,GPZ
Thief River Falls Regional Airport,TVF
Eagle River Union Airport,EGV
Lakeland-Noble F. Lee Memorial field,ARV
Ankeny Regional Airport,IKV
Corpus Christi Naval Air Station/Truax Field,NGP
Catalina Airport,AVX
Mojave Airport,MHV
Hutchinson Municipal Airport,HUT
Rosecrans Memorial Airport,STJ
Volk Field,VOK
Gunnison Crested Butte Regional Airport,GUC
Zamperini Field,TOA
Manistee Co Blacker Airport,MBL
Charlotte County Airport,PGD
Northern Aroostook Regional Airport,WFK
Chautauqua County-Jamestown Airport,JHW
Lake Cumberland Regional Airport,SME
Shenandoah Valley Regional Airport,SHD
Devils Lake Regional Airport,DVL
Dickinson Theodore Roosevelt Regional Airport,DIK
Sidney Richland Municipal Airport,SDY
Chadron Municipal Airport,CDR
Alliance Municipal Airport,AIA
Mc Cook Ben Nelson Regional Airport,MCK
The Florida Keys Marathon Airport,MTH
Dawson Community Airport,GDV
